0 , iPhone , Silicon , Rose
1 , Car , Metal , Tornado
2 , MacBook , Wooden , White
3 , Car , Wooden , Tornado
4 , iPhone , Wooden , Red
5 , Ball , Wooden , Black
6 , Car , Silicon , Red
7 , Barbie , Plastic , Tornado
8 , Ball , Silicon , Green
9 , He-Man , Glass , Tornado
10 , Book , Plastic , Green
11 , Ball , Wooden , Red
12 , MacBook , Glass , Green
13 , MacBook , Metal , White
14 , Barbie , Metal , Green
15 , iPhone , Plastic , Green
16 , Ball , Plastic , Green
17 , He-Man , Glass , Space
18 , iPhone , Wooden , Red
19 , Car , Metal , Black
20 , asdsd , asdas , sada
21 , adds , adsad , sdfa
22 , adad , sadasd , asdasd
23 , adad , asdasd , asdasd
24 , asdasd , sasd asd a , asda 
25 , adad asd  , adad , adad asd a
